"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
Iridium 98 (Iridium SV098),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,,658,666,5.69E-04,86.5,97.98,689,556,"1,400 (EOL)",6/20/2002,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031B,27451,Operational,,JMSatcat304,www.ssc.se/ssd/launches.html     www.iridium.com/corp,www.spaceandtech.com/spacedata/logs/2002/2002-031B_iridium98_sum.shtml,http://www.iridium.com/corp/iri_corp-understand.asp,http://nssdc.gsfc.nasa.gov/spacewarn/spx584.html,http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf,http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm,
IRS-1D (Indian Remote Sensing Satellite 1D),India,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,,738,824,6.01E-03,98.6,100.48,"1,361",,,9/29/1997,3 yrs.,India Space Research Organization,India,Sriharikota Launch Station,PSLV-D3,1997-057A,24971,Remote sensing payload and an X-ray astronomy payload.,,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx509.html,http://www.isro.org/sat.htm,,,,
IRS-P6 (Resourcesat-1) ,India,Indian Space Research Organization (ISRO),Government,Remote sensing,LEO,Sun-Synchronous,,802,875,5.06E-03,98.7,101.68,"1,360",,"1,200",10/17/2003,5 yrs.,ISRO Satellite Center,India,Sriharikota Launch Station,PSLV-C5,2003-046A,28051,"Monitor agricultural, land, and water resources.",,JMSatcat304,http://www.isro.org/pslvc5/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html,www.isro.org,,,,
Jason 1 ,USA/France,NASA/Centre National d'Etudes Spatiales (CNES),Government,Earth Science,LEO,Intermediate,,"1,320","1,328",5.20E-04,66,112.11,470,270,450,12/7/2001,5 yrs.,Astrium,France/UK/Germany,Vandenberg AFB,Delta 2,2001-055A,26997,Monitor sea surface level and wave heights.,,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html,http://sealevel.jpl.nasa.gov/mission/jason-1.html,,,,
Jason 2 ,USA/France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Science,LEO,Intermediate,,"1,332","1,346",9.08E-04,66,112.44,553,510,500,6/20/2008,5 yrs.,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105,Monitor sea surface level and wave heights.,,SC - ASCR,http://www.osd.noaa.gov/ostm/index.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx656.html,,,,,
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,JSAT Corporation,Commercial,Communications,GEO,,+127.51,"35,772","35,801",3.44E-04,1.19,1436.1,"4,400","1,858",,8/11/2006,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2006-033A,29272,"30 Ku-band, 12 C-band transponders.",,JM/12_08,http://www.lib.cas.cz/www/space.40/2006/033A.HTM,http://www.jsat.net/en/release/20060814.html,http://www.lockheedmartin.com/wms/findPage.do?dsp=fec&ci=17822&rsbci=,,,,
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,"Japan Satellite Systems, Inc./Space Communication Corp.",Commercial,Communications,GEO,,+110.10,"35,784","35,789",5.93E-05,0.01,1436.11,"3,531","1,669","7,200 (EOL)",10/7/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,24 Ku-band; voice and video communications to Japan.,,JM/12_08,http://www.superbird.co.jp/english/superbird/index.html,http://www.jsat.net/en/satellite/pop_list.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx564.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
JCSat 1B (JCSAT 5),Japan,JSAT Corporation,Commercial,Communications,GEO,,+128.03,"35,778","35,794",1.90E-04,0.01,1436.09,"2,982","1,308","5,200",12/2/1997,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1997-075A,25067,Ku-band; voice and video communications to Asian Pacific countries and Hawaii.,,JM/12_08,http://www.jsat.net/en/satellite/pop_list.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx.530.html,http://www.jsat.net/en/satellite/jcsat-1b.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,JSAT Corporation,Commercial,Communications,GEO,,+154.00,"35,788","35,794",7.12E-05,0.01,1436.1,"2,500","1,460","3,500",3/29/2002,11 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.",,JM/12_08,http://www.jsat.net/en/satellite/jcsat-2a.html,http://www.spacenadtech.com/spacedata/logs/2002/2002-015b_jcsat-8_sumpub.shtml,http://www.boeing.com/defense-space/space/bss/factsheets/601/jcsat_8/jcsat_8.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,JSAT Corporation,Commercial,Communications,GEO,,+123.85,"33,782","37,768",4.73E-02,0.07,1435.52,"2,900","1,230","5,200",2/15/1999,14.5 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,"32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.",,JM/12_08,http://www.jsat.net/en/satellite/jcsat-4a.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx544.html,http://www.boeing.com/defense-space/space/bss/factsheets/601/jcsat_5_6/jcsat_5_6.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,JSAT Corporation,Commercial,Communications,GEO,,+132.04,"35,776","35,797",2.49E-04,0.01,1436.1,"4,400",,,4/12/2006,12 yrs.,Lockheed Martin Commercial Space Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2006-010A,29045,"C-band, Ku-band, and S-band transponders.",,JM/12_08,http://www.boeing.com/news/releases/2006/q2/060412d_nr.html,http://www.lib.cas.cz/www/space.40/2006/010A.HTM,,,,,
"JCSat R (JCSAT-4, Japan Communications Satellite 4)",Japan,JSAT Corporation,Commercial,Communications,GEO,,+150.05,"35,779","35,794",1.78E-04,0.02,1436.1,"3,124","1,841","5,200",2/16/1997,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2 AS,1997-007A,24732,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV.",,JM/12_08,http://www.jsat.net/en/satellite/pop_list.html,http://www.jsat.net/en/satellite/pop_list.html,http://www.boeing.com/defense-space/space/bss/factsheets/601/jcsat34/jcsat34.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"Jiang Bing 3A (Ziyuan 2, PRC 44)",China (PR),Chinese Academy of Space Technology,Military,Remote Sensing,LEO,Sun-Synchronous,,474,492,1.31E-03,97.4,94.26,"1,500",,,9/1/2000,2 yrs.,Chinese Academy of Space Technology,China (PR),Taiyuan Launch Center,Long March CZ4B,2000-050A,26481,Possible intelligence gathering.,,JMSatcat304,http://nssdc.gsfc.nasa.gov/spacewarn/spx563.html,http://www.sinodefence.com/space/spacecraft/zy2.asp,http:/www.spacedaily.com/news/china-02zzh.html,http://www.zarya.info/Tracking/Radio/PRC-Frequencies.htm,,,
Kagayaki,Japan,Sorun Corporation,Commercial,Space Science,LEO,,,668,671,2.13E-04,98.04,98.13,28,,,1/23/2009,,"Built by more than 20 companies in Arakawa Ward, Tokyo, and students part-time.",Japan,Tanegashima Space Center,H-2A,2009-002D,33495,Will measure orbital debris and observe auroral electric currents.,,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn.spx663.html,,,,,,
Kalpana-1 (Metsat-1),India,Indian Space Research Organization (ISRO),Government,Earth Science,GEO,,+74.07,"35,783","35,789",7.12E-05,0.04,1436.08,"1,060",500,550,9/12/2002,5-7 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),2002-043A,27525,Carries a VHRR (Very High Resolution Radiometer); Data Relay Transponder,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx587.html,http://www.isro.org/rep2003/Webpgs/pg8.htm,,,,
"Keyhole 1 (Advanced KH-11, KH-12-2, Improved Crystal, USA 116)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,,409,"1,012",4.26E-02,97.7,98.99,"18,000","10,000",,12/5/1995,5+ yrs.,Lockheed Martin ,USA,Vandenberg AFB,Titan IV,1995-066A,23728,$1 billion satellite; high resolution surveillance; can carry up to 7 metric tons of fuel.,,JMSatcat304,http://rst.gsfc.nasa.gov/Intro/Part2_26e.html,,http://www.globalsecurity.org/_inc/quinstreet.htm,http://www.dailywireless.org/modules.php?name=News&file=article&sid=3423,http://www.fas.org/spp/military/program/imint/kh-12.htm,http://www.cdi.org/friendlyversion/printversion.cfm?documentID=399,
"Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Intermediate,,800,800,0.00E+00,63.4,100.87,"18,000","10,000",,5/22/1999,5+ yrs.,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1999-028A,25744,$1 billion satellite; high resolution surveillance; can carry up to 7 metric tons of fuel.,,JMSatcat1006,http://www.space.com/missionlaunches/nro_preview_010906.html,http://users.ox.ac.uk/cgi-bin/safeperl/daveh/satellite,http://www.space.com/missionlaunches/nro_preview_010906.html,http://www.dailywireless.org/modules.php?name=News&file=article&sid=3423,http://www.fas.org/spp/military/program/imint/kh-12.htm,http://www.cdi.org/friendlyversion/printversion.cfm?documentID=399,
"Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, USA 161)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,,202,"1,041",6.00E-02,97.8,97.13,"18,000","10,000",,10/5/2001,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2001-044A,26934,$1 billion satellite; high resolution surveillance; can resolve square or circular objects as small as 10 cm but linear structures of 5-8 cm can also be detected. Reported to have reduced capacity due to electrical problems.,,oosa,http://www.globalsecurity.org/_inc./quinstreet.htm,http://www.oosa.unvienna.org/Reports/Regdocs/ser404E.pdf,http://www.msnbc.com/news/185953.asp#BODY,http://www.designation-systems.net/dusrm/app3/sat-summary.html,http://www.spacetoday.org/Satellites/YugoWarSats.html,http://www.usnews.com/usnews/news/articles/030811/11nro_5.htm,
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,National Reconnaissance Office (NRO),Military,Reconnaissance,LEO,Sun-Synchronous,,264,"1,050",5.59E-02,97.9,97,"18,000","10,000",,10/19/2005,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888,$1 billion satellite; last use of Titan IV as launch vehicle.,,JMSR,http://www.nro.gov/PressReleases/prs_rel86.html,http://www.space.com/missionlaunches/fl_titan4_preview_010930.html,,,,,
"Kiku-8 (ETS-8, Engineering Test Satellite 8)",Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,GEO,,+146.06,"35,778","35,792",1.66E-04,0.03,1436.04,"5,800",,,12/18/2006,,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2006-059A,29656,Technology development for satellite communications.,,JM/12_08,http://www.lib.cas.cz/www/space.40/INDEX1.HTM,http://www.jaxa.jp/countdown/f11/outline/index_e.html,,,,,
Kirari (OICETS - Optical Inter-Orbit Communications Engineering Test Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,LEO,Sun-Synchronous,,609,610,7.16E-05,97.8,96.9,670,,,8/23/2005,1 yr.,"NEC Toshiba Space Systems, Ltd. (NTSpace)",Japan,Baikonur Cosmodrome,Dnepr,2005-031A,28809,Study inter-satellite communications.,,Program website,http://god.tksc.jaxa.jp/oi/oicets.html,http://www.russianspaceweb.com/dnepr.html,http://www.jaxa.jp/press/2005/08/20050825_oicets_index_3_e.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx622.html,http://www.lib.cas.cz/www/space.40/2005/031A.HTM,,
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,GEO,,+143.05,"35,776","35,796",2.37E-04,0.02,1436.1,"4,850","2,450",,2/23/2008,,JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H-2A,2008-007A,32500,"Technology demonstration; carries ultra-fast, 1.2 Gbps direct-to-home downlink in Ka-band.",,JM/12_08,http://www.lib.cas.cz/space.40/2008/007A.HTM,http://www.jaxa.jp/countdown/f14/overview/kizuna_e.html,,,,,
KKS-1 (Kouku Kousen Satellite One),Japan,Tokyo Metropolitan College of Industrial Technology,Civil,Technology Development,LEO,,,647,667,1.42E-03,98.03,97.88,,,,1/23/2009,,Tokyo Metropolitan College of Industrial Technology,Japan,Tanegashima Space Center,H-2A,2009-002H,33499,Demonstrate micro propulsion system and three-aix attitude control functions.,,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx663.html,http://www.lib.cas.cz/space.40/2009/I002E.HTM,,,,,
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,LEO,Sun-Synchronous,,675,702,1.91E-03,98.1,98.52,800,,955,7/28/2006, 3 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,2006-031A,29268,"High-resolution, multispectral images of Earth's surface.",,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewaern/spx633.html,http://directory.eoportal.org/pres_KOMPSAT2KoreaMultiPurposeSatellite2Arirang2.html,,http://www.lib.cas.cz/www/space.40/2006/031A.HTM,,,
Koreasat 2 (Mugunghwa 2),South Korea,KT Corporation,Commercial,Communications,GEO,,+116.54,"35,785","35,789",4.74E-05,1.86,1436.13,"1,459",800,"1,600",1/14/1996,10 yrs.,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta II,1996-003A,23768,Korean peninsula; 15 Ku-band transponders.,,JM/12_08,http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1996-003A,http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html,http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat2.html,http://strategis.ic.gc.ca/epic/internet/inimr-ri.nsf/fr/gr-76375f.html,http://www.oosa.unvienna.org/Reports/Regdocs/ser304E.pdf,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,
Koreasat 3 (Mugungwha 3),South Korea,KT Corporation,Commercial,Communications,GEO,,+116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/1999,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",,JM/12_08,http://www.planet4589.org/space/jsr/back/news.407,http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html,http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html,,,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,
Koreasat 5 (Mugungwha 5),South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,GEO,,+113.08,"35,780","35,792",1.42E-04,0.02,1436.1,"4,450",,,8/22/2006,,Alcatel Alenia Space,France,Sea Launch (Odyssey),Zenit 3SL,2006-034A,29349,"24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use.",,JM/12_08,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2006/034A.HTM,,,,,,
Koronas-Foton (Complex Orbital Observations Near Earth of Activity of the Sun),Russia,Federal Space Agency,Government,Solar Physics,LEO,,,540,562,1.59E-03,82.48,95.67,"1,920",,"2,000",1/30/2009,3 yrs.,All-Russia Research Institute of Electromechanics (VNIIEM),Russia,Plesetsk Cosmodrome,Tsyklon-B,2009-003A,33504,"Study solar electromagnetic radiation, especially from solar flares. Part of International Living with a Star (ILSW) program.",,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx663.html,http://www.russianspaceweb.com/koronas_foton.html,,,,,
"Kukai (Space Tethered Autonomous Robotic Satellite One, Stars)",Japan,Kagawa University,Civil,Technology Development,LEO,,,651,667,1.14E-03,98.03,97.92,7,,,1/23/2009,,Kagawa University,,Tanegashima Space Center,H-2A,2009-002G,33498,Two tethered satellite; one able to photograph the other.,,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx663.html,,http://www.lib.cas.cz/space.40/2009/I002H.HTM,,,,
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,,574,676,7.29E-03,68,97.21,"14,500",,,8/17/2000,9 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473,$1 billion range; 3-10 ft. image resolution.,,JMSatcat304,http://www.designation-systems.net/dusrm/app3/sat-summary.html,http://www.floridatoday.com/space/explore/stories/2000b/081600c.htm,http://www.afji.com/ISR/Mags/2002/Issue3/space.html,http://membres.lycos.fr/filterman/duncan-campbell.htm,http://www.bigpedia.com/encyclopedia/Lacrosse_(satellite),http://www.spacenewsfeed.co.uk/2000/20August2000.html#Launches,
"Lacrosse/Onyx 5 (Lacrosse-5, USA 182)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO,Intermediate,,713,716,2.12E-04,57.01,99.08,"14,500",,,4/30/2005,9 yrs.,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,$1 billion range.,,SC - ASCR,http://www.aus-city.com/cgi-bin/ultimatebb.cgi?ubb=get_topic;f=4;t=001169;p=0,http://www.lib.cas.cz/www/space.40/2005/016A.HTM,http://www.iee.org/oncomms/circuit/members/Paper_J%20Doonan.doc,http://www.informationclearinghouse.info/article3509.htm,,,
Landsat 5,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,,694,701,4.95E-04,98.2,98.72,"1,941",,,3/1/1984,3 yrs.,GE Astro Space,USA,Vandenberg AFB,Delta,1984-021A,14780,Still imaging.,,JMSatcat304,http://landsat.usgs.gov/history/Land6.html,http://www.ga.gov.au/acres/prod_ser/landdata.htm,http://www.earth.nasa.gov/history/landsat/landsat5.html,,,,
Landsat 7 ,USA,NASA/US Geological Survey,Government,Earth Science,LEO,Sun-Synchronous,,687,698,7.79E-04,98.2,98.62,"2,744","2,200","1,500",4/15/1999,15 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta II,1999-020A,25682,Remote sensing; polar orbit.,,JMSatcat304,http://www.ga.gov.au/acres/prod_ser/landdata.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx546.html,http://www.floridatoday.com/space/explore/stories/1999/041599ai.htm,http://landsat.usgs.gov/about.html,http://www.sciencemaster.com/jump/space/landsat.php,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,
LAPAN-Tubsat,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,,619,639,1.43E-03,97.9,97.3,60,,14,1/10/2007,,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV-C7,2007-001A,29709,Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.,,,http://www.n2yo.com/satellite.php?s=29709,http://www.ilr.tu-berlin.de/RFA/sat/lapan/paper/triharj1.pdf,http://www.spacedaily.com/reports/First_Indonesian_Developed_Satellite_To_Be_Launched_In_October_999.html,,,,
LatinSat A ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,,638,644,4.28E-04,64.5,97.55,,12,,12/20/2002,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612,"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.",,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx590.html,http://www.aprizesat.com/faqs.asp,,,,
LatinSat B ,Argentina,Aprize Satellites Argentina,Commercial,Communications,LEO,Intermediate,,631,701,4.97E-03,64.5,98.07,,12,,12/20/2002,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606,"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.",,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx590.html,http://www.aprizesat.com/faqs.asp,,,,
LatinSat-C ,Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,,687,753,4.65E-03,98.3,99.5,,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,,JMSatcat304,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,,,,
LatinSat-D ,Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,,673,699,1.84E-03,98.3,,,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,,JMSatcat304,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,,,,
